Gene_ID,Name,s_frt82b_1,s_frt82b_2,s_frt82b_3,s_wda_1,s_wda_2,s_wda_3
FBgn0035624,Eaf6,42.35,40.26,47.46,25.87,27.95,24.24
FBgn0035625,Blimp-1,0.09,0.07,0.09,1.91,1.52,1.42
FBgn0035626,lin-28,0.07,0.03,0,0.16,0.03,0.31
FBgn0035627,Sse,36.98,36.6,38.42,8.16,7.94,7.72
FBgn0035630,CG10576,769.14,725.07,791.54,692.7,795.52,738.18
FBgn0035631,Txl,240.53,231.03,227.86,194.82,197.85,187.91
FBgn0035632,Ppat-Dpck,20.66,21.64,21.51,24.42,25.12,23.94
FBgn0035636,Cralbp,0.34,0.29,0.33,1.98,1.72,1.74
FBgn0035638,Tektin-C,4.87,3.97,4.27,12.03,11.05,10.72
FBgn0035639,kri,70.21,74.76,72.56,103.46,108.25,120.48
FBgn0035640,mad2,209.23,195.56,207.8,26.08,27.49,23.63
FBgn0035641,CG5568,101.55,98.98,114.51,4.26,5.32,6.55
FBgn0035642,CG18586,30.1,30.21,33.03,11.11,14.05,13.72
FBgn0035643,CG13287,0,0,0,0,0,0
FBgn0035644,DNApol-epsilon58,33.48,32.84,32.41,16.52,18.61,15.85
FBgn0035645,CG5592,0.03,0,0,0,0,0.03
FBgn0035647,CG10486,0,0,0,0,0,0.02
FBgn0035648,CG13288,0,0,0,0,0,0.03
FBgn0035649,CG10483,0.11,0.07,0.21,4.7,2.54,3.82
FBgn0035656,CG10479,2.9,2.73,2.38,15.29,16.18,13.15
FBgn0035657,alphaKap4,0,0,0,0,0,0
FBgn0035661,CG10477,0,0,0,0,0,0.13
FBgn0035663,CG6462,0,0,0,0.17,0.03,0.13
FBgn0035665,Jon65Aiii,0.1,0.15,0,0,0.04,0.1
FBgn0035666,Jon65Aii,0,0,0,0,0,0
FBgn0035667,Jon65Ai,0,0,0,0.05,0,0.11
FBgn0035669,CG6592,0.08,0.08,0.09,0.09,0.02,0.08
FBgn0035670,CG10472,0.14,0.07,0.26,0.05,0.21,1.11
FBgn0035673,CG6602,0.3,0.36,0.44,0.49,0.02,0.73
FBgn0035674,CG13295,25.04,23.05,24.01,17.63,17.98,17.56
FBgn0035675,CG6610,84.3,87.36,84.76,149.61,115.57,157.25
FBgn0035676,ssp6,0.01,0.03,0.03,0.01,0.08,0.08
FBgn0035677,CG13293,0,0,0,0.02,0,0.05
FBgn0035678,CG10469,3.08,2.71,4.03,5.13,19.42,6.16
FBgn0035679,CG10467,22.28,21.16,24.26,20.55,18.42,17.37
FBgn0035685,CG13297,0.45,0.11,0.34,1.14,0.93,0.55
FBgn0035686,Cpr65Az,0,0,0,0,0,0
FBgn0035687,Prdm13,0,0,0,0,0,0
FBgn0035688,fmt,56.67,62.02,67.49,27.67,30.91,25.82
FBgn0035689,CG7376,6.13,5.65,6.37,9.78,10.46,9.55
FBgn0035690,CG10274,8.31,9.92,9.61,10.89,11.37,10.29
FBgn0035691,CG7386,2.46,1.76,1.99,4.42,4.03,3.77
FBgn0035692,Sf3b6,173.58,165.86,196.67,176.68,206.95,181.61
FBgn0035693,CG8219,0.05,0.06,0.05,0.15,0.09,0.15
FBgn0035694,CG13299,519.76,531.38,518.83,839.08,409.78,497.31
FBgn0035695,CG10226,0.33,0.39,0.29,9.78,7.05,6.44
FBgn0035696,Best2,41.64,43.69,41.83,113.59,81.04,82.57
FBgn0035697,CG10163,102.77,85.08,67.02,0,0.32,0
FBgn0035699,CG13300,0.65,0.6,0.81,1.85,2.28,1.61
FBgn0035702,CG10147,2.9,3.12,3.96,3.54,3.26,2.76
FBgn0035703,CG8270,18.1,17.95,18.24,15.22,15.03,13.6
FBgn0035704,Vps8,15.02,15.51,17.58,9.04,9.95,9.2
FBgn0035708,axed,0.27,0.14,0.04,5.21,2.93,3.67
FBgn0035709,eIF4E4,0,0,0,0,0,0
FBgn0035710,SP1173,12.06,12.27,12.41,205.65,165.81,179.98
FBgn0035711,CG8519,0,0.05,0,0.89,0.6,0.45
FBgn0035713,velo,60.26,64.35,63.22,51.11,59.74,53.85
FBgn0035714,CG8549,58.84,48.33,52.28,57.99,55.92,57.34
FBgn0035715,CG10103,72.29,73.95,77.88,82.78,84.18,79.06
FBgn0035718,CG14820,0,0.02,0,0,0,0
FBgn0035719,tow,0,0,0.04,0.6,0.28,0.3
FBgn0035720,CG10077,144.66,156.51,170.13,80.35,87.63,75.87
FBgn0035721,CG9948,39.65,36.34,37.62,20.87,22.6,21.73
FBgn0035722,CG10075,43.3,43.92,39.2,41.51,37,47.91
FBgn0035724,CG10064,0.02,0.05,0.06,0.1,0.09,0.11
FBgn0035725,Mis12,37.25,34.14,39.45,27.53,22.93,27.24
FBgn0035726,CG9953,446.14,446.08,422.39,149.47,177.62,159.54
FBgn0035727,CG10063,0.99,1.71,1.48,8.36,7.79,9.5
FBgn0035730,CG17744,0,0,0,0,0,0
FBgn0035733,CG8641,0.02,0,0.02,0.02,0.01,0.01
FBgn0035734,CG14823,0,0,0,0.12,0.49,0.57
FBgn0035735,Cpr65Ea,0,0,0,0,0,0
FBgn0035736,Cpr65Eb,0.04,0,0,0,0,0
FBgn0035737,Cpr65Ec,0,0,0,0.09,0.06,0.08
FBgn0035741,BBS1,0,0,0,0,0.03,0.04
FBgn0035742,CG8629,0,0,0,0,0,0
FBgn0035743,CG15829,1.03,1.45,1.3,0,0,0
FBgn0035750,CG14826,0,0,0,0,0,0
FBgn0035751,CG14829,0,0.05,0,0.15,0.23,0.32
FBgn0035753,RpL18,2210.85,2591.15,2197.63,2717.47,3724.34,3128.58
FBgn0035754,MED4,22.95,22.91,22.22,22.18,21.26,26.53
FBgn0035755,CG14830,2.65,3.31,2.77,11.14,9.34,6.03
FBgn0035756,unc-13-4A,0.01,0,0.01,0.03,0.02,0.01
FBgn0035760,CG8607,30,30.04,29.8,17.29,19.25,19.7
FBgn0035761,RhoGEF4,44.42,43.82,42.68,34.36,37.83,35.94
FBgn0035762,Rint1,34.32,32,33.89,41.74,40.47,36.88
FBgn0035763,CG8602,172.19,174.81,174.1,535.12,523.97,344.61
FBgn0035766,eco,98.78,98.98,110.44,32.07,36.83,31.91
FBgn0035767,Cln7,9.44,9.08,7.9,23.76,20,26.17
FBgn0035768,CG14834,284.05,329.36,329.27,9.19,14.27,12.03
FBgn0035769,CTCF,21.41,21.5,24.93,17.28,19.58,16.53
FBgn0035770,pst,56.66,52.97,64.01,175.17,169.54,156.54
FBgn0035771,Sec63,98.07,98.14,102.72,65.76,72.26,63.37
FBgn0035772,Sh3beta,107.34,99.91,115.24,224.47,214.9,190.52
FBgn0035776,CG8564,0.05,0.04,0,2.76,1.32,1.22
FBgn0035777,CG8563,0,0.07,0.08,8.84,4.8,4.74
FBgn0035779,CG8562,0,0,0,0,0,0.15
FBgn0035780,CG18417,0.03,0,0,0.28,0.66,0.24
FBgn0035781,CG8560,0,0.02,0,0.03,0,0.03
FBgn0035782,CG14835,0.07,0,0.08,0.22,0.16,0.14
FBgn0035785,ppk26,0,0,0,0,0.02,0.06
FBgn0035786,Tsp66A,0,0,0,0,0,0
FBgn0035787,CG8543,0,0,0,0,0,0
FBgn0035788,CG8541,0,0,0,0,0,0
FBgn0035789,mthl6,0.08,0,0,0,0,0
FBgn0035790,Cyp316a1,0,0,0,0,0,0
FBgn0035791,CG8539,16.68,13,12.28,44.8,41.43,37.15
FBgn0035792,CG7548,0,0.05,0,0,0.05,0
FBgn0035793,CG7546,45.07,46.76,53.17,34.7,40.95,31.29
FBgn0035795,CG16998,0,0,0,0,0.04,0
FBgn0035797,CG14837,0.27,0.35,0.4,0.11,0.12,0.14
FBgn0035798,frac,0,0.01,0.01,0.14,0.37,0.19
FBgn0035799,CG14838,0,0,0,0.04,0.02,0
FBgn0035800,CG7716,0.02,0.05,0.08,0.02,0.05,0.07
FBgn0035802,Pura,23.46,25.11,24.05,38.67,36.08,37.05
FBgn0035805,CG7506,59.09,52.11,60.05,66.26,73.04,68.59
FBgn0035806,PGRP-SD,0.06,0.18,0.41,0.86,0.14,1.09
FBgn0035807,CG7492,54.76,53.74,59.12,24.01,23.62,22.37
FBgn0035811,CG12262,390.66,389.28,349.17,229.61,225.35,199.45
FBgn0035812,CG7457,26.67,25.42,29.09,7.75,9.16,9.47
FBgn0035813,CG8492,0,0,0,0,0,0.01
FBgn0035815,Snmp2,0,0.01,0,0.04,0.04,0.04
FBgn0035816,CG13685,0,0.08,0.06,0.79,0.34,0.52
FBgn0035817,CG7409,0,0.09,0.13,0.19,0.49,0.3
FBgn0035823,eIF4E5,0.8,0.28,0.66,0.28,0.26,0.18
FBgn0035824,CG8281,22.32,21.51,25.06,15.73,16.15,14.2
FBgn0035825,CG8111,53.7,52.28,54.47,43.76,45.88,53.74
FBgn0035827,Srp9,172.83,154.22,173.85,136.26,130.07,128.14
FBgn0035829,HP4,101.86,96.41,106.99,83.59,87.66,78.41
FBgn0035830,CG8209,134.03,122.84,132.62,106.44,112.52,95.86
FBgn0035831,CG8038,39.68,42.04,39.22,34.56,34.33,36.49
FBgn0035833,CG7565,6.81,7.62,8.18,4.15,4.31,2.94
FBgn0035838,ldbr,20.37,18.99,22.78,11.26,12.2,11.57
FBgn0035839,CG7550,16.12,17.57,19.16,10.23,11.56,9.96
FBgn0035842,CG7504,21,19.65,23.48,6.27,7.38,5.41
FBgn0035844,CG13676,0.52,0.69,0.78,1.05,1.93,1.53
FBgn0035845,CG13675,0,0,0,0.03,0,0.03
FBgn0035847,mthl7,0,0,0,0.03,0.05,0.09
FBgn0035848,Uxs,28.79,29.21,31.03,18.85,18.19,19.55
FBgn0035849,ERR,12.38,12.04,12.24,24.51,26.59,21.85
FBgn0035850,Atg18a,51.77,49.58,51.7,68.98,68.03,52.37
FBgn0035851,MED24,32.38,33.39,35.72,15.08,16.58,14.47
FBgn0035852,CG7387,0.08,0.02,0.09,0,0.04,0.03
FBgn0035853,UbcE2M,183.14,177.49,183.65,132.69,126.65,113.05
FBgn0035854,CG8005,17.11,16.06,16.95,25.33,30.02,28.35
FBgn0035855,CG7366,0,0,0,0,0,0.03
FBgn0035856,CG13679,0,0,0,0,0,0
FBgn0035857,CG8006,0,0,0,0.03,0.04,0.05
FBgn0035858,CG13674,0,0,0,0.09,0,0
FBgn0035859,CG13678,0,0,0.09,0.78,0,0.34
FBgn0035861,CG7213,0,0,0,0.03,0.1,0.11
FBgn0035865,CG7201,0,0,0,0,0.35,0
FBgn0035866,Arl5,83.29,78.04,86.62,36.4,36.45,32.58
FBgn0035867,CG13671,14.65,14.98,15.75,10.95,12.8,11.53
FBgn0035868,CG7194,22.44,18.79,20.24,81.35,70.1,49.82
FBgn0035870,Gr66a,0.03,0.02,0,0.09,0.12,0.06
FBgn0035871,BI-1,131.41,133,130.27,259.95,214.59,242.41
FBgn0035872,CG7185,127.74,141.78,147.12,58.72,74.01,58.99
FBgn0035873,CG13670,0,0,0,0,0,0
FBgn0035875,Cpr66Cb,0,0.03,0,0,0,0
FBgn0035876,Pex2,35.05,31.23,35.69,28.11,24.87,21.94
FBgn0035877,CG7083,26.35,27.74,27.41,42.36,40.32,31.06
FBgn0035878,CG7182,154.81,158.08,167.96,102.08,126.53,117.13
FBgn0035879,GAPcenA,21.87,22.29,24.86,25.86,25.86,23.58
FBgn0035880,Culd,1.85,1.83,1.7,1.9,1.74,2.01
FBgn0035886,Jon66Ci,0,0,0,0,0,0
FBgn0035887,Jon66Cii,0,0,0,0,0,0
FBgn0035888,CG7120,8.48,8.05,9.55,25.02,25.52,28.92
FBgn0035889,mkg-p,30.41,29.5,34.21,24.19,25.75,22.47
FBgn0035890,CG13667,14.25,14.29,15.45,15.71,17.58,15.84
FBgn0035896,CG6983,63.77,59.81,57.74,121.11,107,90.4
FBgn0035900,ZC3H3,6.59,7.26,6.77,7.42,6.03,6.59
FBgn0035901,CG6745,47.62,47.51,53.83,21.49,29.8,23.33
FBgn0035902,CG6683,20.2,17.12,18.47,5.73,5.93,5.66
FBgn0035903,CG6765,0.17,0.16,0.24,0.37,0.23,0.26
FBgn0035904,GstO3,16.39,16.94,16.29,55.44,47.82,46.15
FBgn0035906,GstO2,219.97,202.96,218.06,133.92,142.09,124.22
FBgn0035907,GstO1,108.46,109.21,104.06,44.81,47.2,52.91
FBgn0035909,ergic53,165.88,146.94,175.18,105.58,109.6,93.22
FBgn0035911,CG6638,89.55,88,88.76,61.94,56.77,66.93
FBgn0035914,CG6282,0.6,0.34,0.33,11.19,8.66,8.57
FBgn0035915,S-Lap1,0,0,0.02,0.11,0.05,0.75
FBgn0035916,GAPsec,41.87,39.62,44.5,44.22,42.02,38.02
FBgn0035917,Zasp66,5.44,5.01,5.98,244.89,144.66,166.79
FBgn0035918,Cdc6,52.48,51.45,53.88,11.33,12.58,9.96
FBgn0035921,CG13305,0,0.03,0,0,0,0
FBgn0035922,Pex7,0,0,0,0.03,0,0
FBgn0035923,CG6511,18.8,20.34,22.97,8.09,9.58,8.1
FBgn0035924,CG6576,0,0,0,0,0,0
FBgn0035926,CG5804,0,0,0.16,0,0,0
FBgn0035928,CG13310,0.03,0.02,0,0,0,0
FBgn0035929,CG13311,0.16,0,0.09,0,0,0.08
FBgn0035931,CG13312,0,0,0,0,0,0
FBgn0035932,CG13308,0,0.05,0,0.14,0,0
FBgn0035933,CG13309,0.27,3.3,1.35,12.35,0,0.57
FBgn0035934,TrpA1,0,0,0,0,0.01,0
FBgn0035936,Tsp66E,119.91,113.71,127.1,22.95,26.32,25.67
FBgn0035941,CG13313,0,0.02,0,0.07,0.12,0.19
FBgn0035942,ValRS-m,8.17,8.69,8.51,3.72,4.2,4.47
FBgn0035943,CG5653,0,0,0,0,0,0
FBgn0035944,CG5021,77.48,74.79,75.78,73.45,68.88,72.56
FBgn0035945,CG5026,77.09,72.82,78.2,26.95,24.8,25.29
FBgn0035947,Srp68,155.28,154.88,161.33,80.46,96.55,78.05
FBgn0035948,CG5644,3.45,3.98,2.83,0.48,0.46,0.72
FBgn0035949,CG13314,2.2,1.89,1.61,17.79,15.96,16.04
FBgn0035951,CG5068,31.8,33.62,37.21,26.06,28.65,29.12
FBgn0035952,CG5280,0.09,0.13,0.15,0.19,0.03,0.18
FBgn0035953,CG5087,19.35,19.22,21.88,10.3,10.28,10.33
FBgn0035954,Doc3,0,0,0,0.05,0.04,0
FBgn0035955,CG5194,118.62,112.27,123.62,29.73,33.16,31.52
FBgn0035956,Doc2,0,0.03,0.02,0,0,0.02
FBgn0035957,CG5144,7.79,8.19,7.26,0.54,0.84,0.73
FBgn0035959,CG4911,114.12,106.7,129.16,25.71,22.57,17.79
FBgn0035960,CG4942,15.76,14.88,15.18,8.93,7.88,8.71
FBgn0035964,Dhpr,87.62,78.32,87.53,63.51,64.91,58.79
FBgn0035965,Use1,60.19,52.54,62.58,34.42,31.85,29.2
FBgn0035968,Slc45-1,7.88,7.51,5.16,2.96,2.5,3.99
FBgn0035969,CG4476,125.22,124.7,128.43,9.38,8.78,9.33
FBgn0035970,CG4483,0,0,0,0,0,0
FBgn0035971,CG4477,0,0,0,0,0,0
FBgn0035975,PGRP-LA,3.66,3.37,3.4,26.05,22.28,24.41
FBgn0035976,PGRP-LC,3.13,2.03,2.69,17.53,13.13,14.49
FBgn0035977,PGRP-LF,0.31,0.28,0.28,9.76,7.82,9.4
FBgn0035978,UGP,158.66,145.02,155.54,44.85,44.69,38.49
FBgn0035980,mRRF1,51.43,46.54,47.03,33.66,34.14,33
FBgn0035981,CG4452,64.51,64.39,66.78,80.15,78.59,66.88
FBgn0035982,CG4461,0.1,0.07,0,0.16,0.15,0.53
FBgn0035983,CG4080,32.51,31.49,35.43,48.86,51.1,42.85
FBgn0035985,Cpr67B,0.08,0.25,0.24,4.41,3.94,1.7
FBgn0035986,CG4022,20.4,19.12,23.92,16.12,16.27,15.89
FBgn0035987,CG3689,157.17,156.06,176.59,69.75,80.97,74.13
FBgn0035988,CG3982,0.23,0.06,0.03,0.19,0.2,0.27
FBgn0035989,CG3967,30.1,31.48,34.1,20.43,18.5,18.24
FBgn0035993,Nf-YA,24.6,27.01,28.68,12.81,13.13,13.49
FBgn0035995,CG3529,28.8,30.36,32.23,44.97,45.75,42.98
FBgn0035996,CG3448,11.01,9.76,10.73,13.47,14.82,15.79
FBgn0035997,phol,69.85,69.87,77.95,15.85,18.74,14.82
FBgn0035998,CG3437,57.2,58.52,58.24,21.97,20.21,23.88
FBgn0035999,CG3552,30.25,28.14,32.73,27.71,29.44,26.21
FBgn0036000,CG3434,31.3,29.36,33.68,44.92,50.28,49.62
FBgn0036004,Jarid2,37.52,38.06,45.27,14.64,16.36,11.35
FBgn0036005,pall,39.45,36.29,42.78,29.15,29.2,28.02
FBgn0036007,path,299.57,288.86,326.34,204.39,234.12,189.49
FBgn0036008,CG3408,74.6,63.85,76.41,22.36,24.67,22.66
FBgn0036009,Or67a,0,0.02,0.03,0.06,0.07,0.15
FBgn0036010,Ir67a,0.02,0,0,0,0,0
FBgn0036014,CG3222,0.06,0.07,0.07,0.38,0.05,0.39
FBgn0036015,CG3088,0,0,0,0,0,0
FBgn0036016,CG3306,0,0.03,0,0.05,0,0.04
FBgn0036018,CG3335,42.12,38.97,47.2,28.36,32.26,27.85
FBgn0036019,Or67b,0,0.02,0.04,0,0,0
FBgn0036020,CG8336,51.47,47.15,54.5,24.03,29.36,25.96
FBgn0036022,CG8329,0,0,0,0,0,0
FBgn0036023,CG18179,0,0,0,0,0.04,0
FBgn0036024,CG18180,0.05,0,0,0.21,0.04,0.35
FBgn0036028,CG16717,47.62,45.66,51.23,18.23,19.59,17.66
FBgn0036029,CG16719,0.08,0,0.04,0,0.03,0.04
FBgn0036030,CG6767,261.27,237.1,274,227.84,234.4,248.89
FBgn0036031,CG6761,0,0,0.07,0,0,0.02
FBgn0036032,CG16711,17.88,18.53,22.41,4.7,4.93,3.84
FBgn0036035,CG18178,86.13,78.72,86.09,75.47,89.11,77.14
FBgn0036036,CG14174,13.59,12.9,14.45,15.32,15.65,15.39
FBgn0036038,defl,16.31,17.92,18.23,11.8,13.78,11.87
FBgn0036039,Naa60,37.51,35.18,44.3,16.44,15.12,13.84
FBgn0036040,CG6749,0.16,0.17,0.05,0.12,0.14,0.26
FBgn0036043,CG8177,47.87,49.41,57.6,15.53,17.6,16.68
FBgn0036044,Zasp67,0.07,0.01,0.02,0,0,0
FBgn0036046,Ilp2,0,0,0,0,0,0
FBgn0036052,CG10809,27.73,28.29,31.03,16.2,18.47,15.75
FBgn0036053,iPLA2-VIA,77.53,75.8,80.99,28.49,29.05,26.2
FBgn0036056,CG6709,1.75,1.11,1.94,4.03,1.91,2.65
FBgn0036057,Hez,0.85,0.85,1.03,0.68,0.98,1.11
FBgn0036058,CG6707,112.41,106.22,117.75,131.19,127.88,114.11
FBgn0036059,nudE,99.26,88.91,105.07,59.09,59.81,56.19
FBgn0036062,CG6685,32.62,30.3,33.96,17.51,17.8,16.34
FBgn0036063,CG6674,23.89,21.94,26.77,28.8,26.79,29.32
FBgn0036066,CG14160,0,0,0,0.04,0,0.02
FBgn0036070,CG8072,0,0,0,0.04,0,0
FBgn0036072,CG6628,0,0.03,0,0.72,0.21,0.53
FBgn0036075,CG8065,0,0,0,0,0,0
FBgn0036078,Or67c,0.03,0.03,0,0,0,0.04
FBgn0036080,Or67d,0,0,0,0,0,0
FBgn0036082,CG12362,0,0,0,0,0,0.02
FBgn0036083,Ir67b,0,0,0,0,0,0
FBgn0036085,CG6527,0,0,0,0,0.04,0
FBgn0036089,CG14151,0,0,0,0,0,0
FBgn0036090,CG8009,35.7,31.53,39.48,29.93,33.11,25.58
FBgn0036091,CG18628,21.47,25.42,21.24,1815.75,834.84,1199.23
FBgn0036093,CG14154,0,0,0,0,0,0
FBgn0036094,CG14153,0,0,0,0.09,0.16,0.35
FBgn0036096,CG8003,66.61,64.91,67.33,56.87,68.43,62.95
FBgn0036099,CG11811,107.88,94.45,117.99,93.09,87.56,85.88
FBgn0036101,NijA,7.22,6.27,6.17,66.82,47.22,49.76
FBgn0036102,CG12523,0,0,0,0,0,0
FBgn0036104,CG6418,38.25,40.97,45.94,26.26,31.03,23.48
FBgn0036105,Blos4,27.34,23.08,21.83,29.49,22.57,27.36
FBgn0036106,CG6409,1.64,1.4,1.62,16.51,6.94,9.01
FBgn0036107,galla-2,55.89,53.2,56.06,80.27,75.17,78.69
FBgn0036108,Cpr67Fa1,0,0,0,0,0,0
FBgn0036109,Cpr67Fa2,0,0,0,0,0,0
FBgn0036110,Cpr67Fb,0.2,0.22,0,0.77,0.15,0.21
FBgn0036111,Aps,287.56,252.39,318,201.85,202.41,179.91
FBgn0036112,CG14147,0.11,0.08,0.06,0,0,0.06
FBgn0036116,CG7888,34.61,35.23,30.42,4.2,4.12,2.51
FBgn0036117,CG6321,32.2,30.51,32.62,36.93,31.84,36.15
FBgn0036118,Blos2,30.47,26.34,25.23,32.02,28.28,31.58
FBgn0036121,CG6310,36.65,35.86,35.9,199.14,196.68,196.07
FBgn0036124,CG7839,68.02,60.37,72.86,39.89,49.2,38.3
FBgn0036125,Iyd,0.16,0.27,0.09,0.36,0.3,0.19
FBgn0036126,Irbp18,29.19,28.43,30.21,68.19,49.73,61.31
FBgn0036128,Elo68beta,0,0,0,0,0,0
FBgn0036131,CG12522,0,0,0,0,0,0
FBgn0036133,CG7638,60.77,59.48,66.75,40.96,41.44,37.89
FBgn0036134,FoxK,48.28,50.19,58.48,45.26,51.12,42.84
FBgn0036135,mRpL2,55.69,56.83,56.75,94.21,87.35,99.07
FBgn0036136,Ufd1-like,106.17,107.24,109.15,85.1,81.76,76.84
FBgn0036138,CG14143,0,0,0,0.1,0.14,0
FBgn0036139,CG6216,0,0,0,0,0,0.04
FBgn0036141,wls,79.14,76.57,80.91,21.8,21.79,20.32
FBgn0036142,CG7616,10.08,10.16,10.54,11.43,9.73,9.48
FBgn0036143,CG14142,0,0.01,0.02,0.04,0.03,0.02
FBgn0036144,GlcAT-P,46.9,45,49.54,20.93,16.27,13.73
FBgn0036145,CG7607,0.13,0.15,0.22,0.72,0.56,0.62
FBgn0036146,CG14141,0,0,0,0,0.13,0.18
FBgn0036147,Plod,67.13,69.17,72.65,196.1,258.59,202.12
FBgn0036150,Ir68a,0.05,0.03,0.02,0.54,0.33,0.68
FBgn0036152,CG6175,37.28,39.95,42.82,49.09,62.56,51.73
FBgn0036153,CG7573,0.03,0.04,0.03,0.12,0.17,0.09
FBgn0036154,CG6168,0.04,0.04,0,0.15,0.16,0.11
FBgn0036155,CG6163,10.08,10.69,10.33,20.75,22.87,22.38
FBgn0036156,CG11726,0,0,0,0,0,0
FBgn0036157,CG7560,0.12,0,0.04,0.88,1.01,1.79
FBgn0036158,CG6149,0,0,0,0,0,0
FBgn0036159,CG7557,0,0,0,0,0,0.03
FBgn0036160,CG12289,0,0,0,0,0,0
FBgn0036161,CG7551,0,0,0,0,0,0
FBgn0036162,Fum3,0,0,0,0,0,0.05
FBgn0036165,chrb,45.31,42.31,53.01,68.35,54.44,50.07
FBgn0036168,CG7512,2.07,2.03,2.27,8.4,7.28,4.47
FBgn0036170,CG11714,0.02,0.02,0.03,0.28,0.14,0.3
FBgn0036173,CG7394,76.88,69.97,76.17,110.22,103.67,111.69
FBgn0036176,CG7377,0,0.13,0,0,0.13,0
FBgn0036177,CG33268,0,0,0,0,0,0
FBgn0036178,CG14137,0,0,0,0,0,0
FBgn0036179,CG7368,0.05,0.08,0.05,0.2,0.19,0.3
FBgn0036180,Duba,39.82,38.86,41.49,33.67,32.59,27.13
FBgn0036181,Muc68Ca,0.04,0.06,0.05,0.17,0.16,0.17
FBgn0036183,CG6083,0.06,0,0.04,0,0,0
FBgn0036184,PCID2,46.69,49.06,45.29,29.29,31.34,31.48
FBgn0036186,CG6071,0.33,0.32,0.4,1.05,1.27,1.03
FBgn0036187,RIOK1,40.59,37.78,41.88,36.7,42.73,36.13
FBgn0036188,CG7339,43.4,37.37,37.6,66.69,71.57,73.38
FBgn0036191,Sugb,33.99,33.21,36.94,60.11,66.78,65.4
FBgn0036192,Pldn,19.11,18.35,18.94,18.85,16.74,16.31
FBgn0036193,CG14135,23.9,21.25,23.33,22.6,21.07,20.99
FBgn0036194,Dph1,40.69,40.33,42.67,25.89,27.8,26.89
FBgn0036195,Dnai2,0,0.02,0,0,0,0
FBgn0036196,CG11658,5.79,6.03,7.01,24.93,20.07,19.45
FBgn0036198,crim,70.59,63.24,74.71,49.53,45.3,44.79
FBgn0036199,Bmcp,54.21,48.76,59.27,84.27,83.55,67.85
FBgn0036202,CG6024,0.88,0.78,0.7,1.67,2.1,2.01
FBgn0036203,Muc68D,0.01,0.01,0.01,0.03,0.01,0
FBgn0036204,Tim13,0,0,0,0,0,0
FBgn0036205,CG14131,10.03,9.7,10.81,15.89,16.46,13.25
FBgn0036206,CG5964,0.14,0.13,0.2,0.51,0.38,0.26
FBgn0036207,CG10907,27.05,22.98,29.99,19.72,21.19,17.52
FBgn0036208,CG10361,0.12,0.11,0.13,1.84,1.44,1.37
FBgn0036210,CG14130,15.75,15.47,17.11,10.51,11.62,11.6
FBgn0036211,CG5946,119.8,110.36,121.78,121.91,123.06,120.5
FBgn0036212,CG11597,2.56,2.43,2.23,3.35,2.97,3.9
FBgn0036213,RpL10Ab,2683.73,2687.89,2304.24,4797.87,4122.12,5115.23
FBgn0036214,CG7264,0.02,0.09,0,0.13,0.14,0.19
FBgn0036217,CG5906,0,0,0,0.06,0,0.05
FBgn0036218,Sprn,0,0,0,0,0.02,0
FBgn0036219,CCDC151,0,0,0,0,0,0
FBgn0036220,CG5897,0,0,0,0,0,0
FBgn0036221,CG11588,0,0,0,0,0,0
FBgn0036222,SdhAL,0,0,0,0,0,0
FBgn0036224,Rpt4R,0,0,0,0.2,0.16,0.19
FBgn0036225,CG5883,0,0.03,0,0,0,0
FBgn0036226,CG7252,0,0,0,0,0,0
FBgn0036227,CG17826,0,0,0,0,0,0
FBgn0036228,obst-G,0,0,0,0,0,0
FBgn0036229,CG7248,0,0,0,0,0.01,0.02
FBgn0036230,CG11570,0,0,0,0,0,0
FBgn0036232,CG14125,0,0,0,0.05,0,0
FBgn0036235,CG6938,0,0,0,0,0,0
FBgn0036236,CG6931,0,0,0,0,0,0.04
FBgn0036237,viaf,129.07,120.78,137.84,106.31,103.99,95.05
FBgn0036239,Pop2,195.85,187.05,211.24,75.6,89.05,73.65
FBgn0036240,CG6928,29.78,33.3,32.6,9.04,9.71,8.74
FBgn0036242,CG6793,0.02,0.02,0,0.05,0.04,0.07
FBgn0036246,CG17154,0,0,0,0,0,0
FBgn0036248,ssp,62.35,59.01,67.58,28.99,32.42,32.66
FBgn0036249,CG11560,17.2,19.41,17.62,12.38,14.25,15.12
FBgn0036250,Ir68b,0,0,0,0.05,0.02,0.07
FBgn0036254,CG5645,40.27,34.28,43.86,29.2,34.64,26.41
FBgn0036255,Atg12,37.16,32.22,34.84,21.25,17.3,22.12
FBgn0036257,RhoGAP68F,64.25,61.95,67.8,39.81,37.15,32.5
FBgn0036258,eIF3l,364.1,373.52,380.31,319.42,367.15,311
FBgn0036259,CG9760,0.06,0.06,0.05,2.37,0.95,1.9
FBgn0036260,Rh7,0.01,0.01,0.02,0.03,0.02,0.03
FBgn0036262,CG6910,1.67,1.37,1.42,49.21,38.63,28.04
FBgn0036263,thoc6,69.9,66.95,70.4,42.09,46.36,42.02
FBgn0036264,CG11529,0.41,0.28,0.66,0.07,0.11,0.07
FBgn0036266,CG5626,34.47,29.38,36.14,13.35,13.36,13.93
FBgn0036271,Pbgs,17.58,19.48,19.48,21.89,20.1,20.16
FBgn0036272,Sms,207.08,187.62,216.93,41.29,44.27,38.88
